player_id,team_id,player_name,tm_id
3388,40,Jack Wilshere,74223
3587,40,Arthur Masuaku,181380
5685,40,Carlos Alberto Sánchez Moreno,51226
10290,40,Fabián Cornelio Balbuena González,285548
7169,23,Adam Masina,286949
3376,32,Isaac Mbenza,260806
9692,32,Joel Coleman,285551
24874,32,Matty Daly,566349
3651,25,Matt Targett,250478
3447,29,Ademola Lookman,406040
20046,29,Phil Jagielka,13520
3462,34,Jack Cork,40613
3505,34,Chris Wood,108725
3583,34,Ashley Westwood,91317
3627,34,Charlie Taylor,195633
3628,34,James Tarkowski,173504
3661,34,Ashley Barnes,63200
3663,34,Ben Mee,74810
3720,34,Johann Berg Guðmunds­son,89231
4620,34,Matthew Lowton,102258
4693,34,Tom Heaton,34130
4809,34,Matěj Vydra,101500
5111,34,Dwight McNeil,584769
10965,34,Jeff Hendrick,148262
10967,34,Robbie Brady,128229
3683,23,Tom Cleverley,73484
3645,33,Gary Cahill,27511
6731,35,Florin Andone,177065
3500,1,Granit Xhaka,111455
5266,1,Lucas Torreira Di Pascua,318077
5541,1,Stephan Lichtsteiner,2865
24938,55,Harvey Elliot,565822
5205,46,Rui Pedro dos Santos Patrício,45026
6802,46,Jonathan Castro Otto,175446
9927,46,Rúben Diogo Da Silva Neves,225161
24939,46,Will Norris,285033
24940,46,Max Kilman,525247
3450,31,Jordan Ayew,108354
3469,31,Bakary Sako,46791
9921,58,Nathaniel Mendez-Laing,125409
15691,58,Danny Ward,124172
3970,25,Fraser Forster,52570
10286,25,Mohamed Elyounoussi,186644
4619,22,Hamza Choudhury,341501
3101,36,Vincent Kompany,9594
3261,36,Benjamin Mendy,157495
3471,24,Dejan Lovren,37838
3473,24,James Philip Milner,3333
3495,24,Joe Gomez,256178
3529,24,Daniel Andre Sturridge,47082
3531,24,Mohamed Salah,148455
3532,24,Jordan Brian Henderson,61651
3535,24,Roberto Firmino Barbosa de Oliveira,131789
3567,24,Georginio Wijnaldum,49499
3629,24,Sadio Mané,200512
3655,24,Andrew Robertson,234803
3669,24,Virgil van Dijk,139208
5547,24,Alisson Ramsés Becker,105470
8505,24,Naby Deco Keïta,302215
23528,55,Lazar Marković,144303
3465,55,Timothy Evans Fosu-Mensah,315131
3524,32,Laurent Depoitre,90583
3618,32,Florent Hadergjonaj,238809
3329,25,Cédric Ricardo Alves Soares,112988
3588,25,Wesley Hoedt,253765
3619,25,Alex McCarthy,95976
3828,25,Steven Davis,28973
3949,25,Manolo Gabbiadini,112343
3247,24,Fábio Henrique Tavares,225693
3502,24,Joël Andre Job Matip,82105
3533,24,Xherdan Shaqiri,86792
4090,24,Adam David Lallana,43530
10280,55,Aboubakar Kamara,290951
22171,55,Ibrahima Cissé,160380
3289,39,Romelu Lukaku Menama,96341
3293,39,Jesse Lingard,141660
3294,39,Juan Manuel Mata García,44068
3314,39,Phil Jones,117996
3318,39,Marcus Rashford,258923
3333,39,David de Gea Quintana,59377
3381,39,Nemanja Matić,74683
3602,39,Faustino Marcos Alberto Rojo,93176
3606,39,Ander Herrera Agüera,99343
3612,39,Ashley Young,14086
3620,39,Scott McTominay,315969
9904,39,Frederico Rodrigues Santos,191614
10958,39,Chris Smalling,103427
16028,39,José Diogo Dalot Teixeira,357147
3478,33,Francesc Fàbregas i Soler,8806
19688,32,Jason Puncheon,47995
8963,22,Caglar Söyüncü,320141
22821,28,Jack Simpson,419930
9931,46,Hélder Wander Sousa Azevedo Costa,173900
3270,22,Danny Simpson,37442
9916,58,Gary Madine,66994
9926,46,Leonardo Bonatini Lohner Maia,181781
3296,39,Marouane Fellaini-Bakkioui,39679
3385,39,Alexis Alejandro Sánchez Sánchez,40433
3702,39,Victor Nilsson Lindelöf,184573
4587,39,Matteo Darmian,54906
20004,39,Paul Pogba,122153
20039,39,Anthony Martial,182877
22589,25,Callum Slattery,332342
3643,34,Phil Bardsley,15773
3291,34,Joe Hart,40204
3953,34,Aaron Lennon,14221
4092,34,Sam Vokes,48078
3515,24,Alberto Moreno Pérez,207917
3664,24,Trent Alexander-Arnold,314353
4747,24,Divock Okoth Origi,148368
4271,40,Andy Carroll,48066
3635,28,Jordon Ibe,195652
22122,55,Neeskens Kebano,111422
3536,32,Ramadan Sobhi,312017
2978,32,Collin Quaner,123397
3624,25,Michael Obafemi,444208
3511,1,Héctor Bellerín Moruno,191217
3394,1,Laurent Koscielny,76277
22360,40,Alexandre Nascimento Costa Silva,258011
15965,34,Ben Gibson,128904
3324,39,Eric Bertrand Bailly,286384
3382,39,Luke Shaw,183288
6846,39,Andreas Hoelgebaum Pereira,203394
16880,58,Greg Cunningham,114093
22358,35,David Button,61814
3542,29,Jonjoe Kenny,258883
3373,32,Adama Diakhaby,453594
3518,29,Leighton Baines,13507
20641,31,Connor Wickham,95435
3686,23,Stefano Okaka Chuka,35249
3267,39,Luis Antonio Valencia Mosquera,33544
4591,1,Rob Holding,253341
3288,23,Miguel Ángel Britos Cabrera,76799
5467,35,Leon-Aderemi Balogun,56100
3584,34,Stephen Ward,34691
3098,38,Victor Wanyama,77760
3264,38,Vincent Janssen,207015
5112,28,Emerson Hyndman,223047
3737,1,Edward Nketiah,340324
3481,38,Serge Aurier,127032
